experiment_name,condition,round,agent_id,opponent_id,game,action,opponent_action,payoff,cumulative_payoff,reputation,temperature,reflection_depth,risk_tendency,mode,confidence,risk_level,reason,is_malicious
test_1round,fixed_low_temperature,1,7,3,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,"ACTION: <OPERate>
CONF",False
test_1round,fixed_low_temperature,1,3,7,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,1.0,0.5,To promote to build trust in the opponent's medium risk recovery mode..,False
test_1round,fixed_low_temperature,1,2,8,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,<To maintain cooperation and avoid a defection cycle,False
test_1round,fixed_low_temperature,1,8,2,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,<test opponent's response>,False
test_1round,fixed_low_temperature,1,5,6,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,Giving cooperation shows defection might still for a cooperative response.,False
test_1round,fixed_low_temperature,1,6,5,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,"ACTION: < Cooperate >
CONF",False
test_1round,fixed_low_temperature,1,9,4,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,"<Considering the moderate trust level,",False
test_1round,fixed_low_temperature,1,4,9,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,<trust the first opponent to cooperate in the long longer,False
test_1round,fixed_low_temperature,1,0,1,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.0,0.5,"Initial game,, cooperate to build trust of cooperation.",False
test_1round,fixed_low_temperature,1,1,0,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.2,1,medium,fixed,0.5,0.5,<To maintain a positive reputation and encourage reciprocal cooperation.>,False
